dataset,model,task,seed,metric_name,test_score,train_score_if_available,status,notes
diamonds_v3,catboost,regression,42,RMSE,6189.654986693355,1087.5433565924106,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.843
diamonds_v3,catboost,regression,123,R2,0.8040875235012336,0.9983122840533875,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.842
diamonds_v3,catboost,regression,123,RMSE,7937.99917292646,1059.5491405733212,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.842
diamonds_v3,mlp,regression,0,R2,0.8802510134061494,0.958104430081139,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=5.674
diamonds_v3,mlp,regression,0,RMSE,8336.78556440277,4478.913996787435,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=5.674
diamonds_v3,mlp,regression,42,R2,0.7891722580451002,0.9473233923900857,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=6.868
diamonds_v3,mlp,regression,42,RMSE,7046.911346875704,5207.511237219148,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=6.868
diamonds_v3,mlp,regression,123,R2,0.6801435073856932,0.8283807346616585,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=2.621
diamonds_v3,mlp,regression,123,RMSE,10142.793587756005,10684.505965127717,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=2.621
diamonds_v3,tabnet,regression,0,R2,0.09563237428665161,0.09015250205993652,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=4.660
diamonds_v3,tabnet,regression,0,RMSE,22910.534722916,20872.42935002389,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=4.660
diamonds_v3,tabnet,regression,42,R2,0.14682674407958984,0.1441320776939392,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=4.655
diamonds_v3,tabnet,regression,42,RMSE,14175.994288617492,20990.592874013608,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=4.655
diamonds_v3,tabnet,regression,123,R2,0.15306973457336426,0.15631037950515747,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=4.386
diamonds_v3,tabnet,regression,123,RMSE,16504.554184291734,23689.87492819138,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=4.386
diamonds_v3,tabpfn,regression,0,R2,,,skipped,best_params.json not found
diamonds_v3,tabpfn,regression,42,R2,,,skipped,best_params.json not found
diamonds_v3,tabpfn,regression,123,R2,,,skipped,best_params.json not found
diamonds_v3,apt,regression,0,R2,,,skipped,best_params.json not found
diamonds_v3,apt,regression,42,R2,,,skipped,best_params.json not found
diamonds_v3,apt,regression,123,R2,,,skipped,best_params.json not found
